Date,Close,High,Low,Open,Volume
2020-02-14,175.58560180664062,175.64243864012167,173.0278286604553,173.59622590515036,23149500
2020-02-18,177.36656188964844,177.81180305026547,175.727703793834,175.83190947940273,27792200
2020-02-19,177.8984832763672,178.75339330512708,177.1290613515988,178.63940916647175,29997500
2020-02-20,175.18179321289062,177.8700309337573,172.028110481901,177.58505602269517,36862400
2020-02-21,169.64381408691406,174.30785891305882,168.3709427375459,173.99438799966083,48572600
2020-02-24,162.3295440673828,165.80620582569023,155.05325577394382,159.36584000819616,68311100
2020-02-25,159.65081787109375,166.0816754656081,159.25184432237913,165.4737357884397,68073300
2020-02-26,161.64561462402344,164.58082272532707,159.7838056869428,161.20866567721743,56206100
2020-02-27,150.25621032714844,158.66288904796488,150.06623191703775,155.1387438829772,93174900
2020-02-28,153.8943634033203,155.50921622258826,144.38580353335962,144.7752687189207,97012700
2020-03-02,164.1343536376953,164.25784613285873,154.17933661297113,157.02905638868572,71030800
2020-03-03,156.2691192626953,166.2336440588436,154.13182955336734,165.09375911275336,71677000
2020-03-04,162.00656127929688,162.14904146075395,157.3235145582892,160.0497561503621,49814400
2020-03-05,157.94094848632812,162.3105094316325,157.39000100953325,157.73196790911553,47817300
2020-03-06,153.47640991210938,154.9392596374927,148.18542341366964,154.46430635732068,72821100
2020-03-09,143.07498168945312,149.84782295306104,142.48604401241937,143.43595097250218,70419300
2020-03-10,152.85897827148438,152.96346858405525,144.93676019104754,150.2372411030131,65354400
2020-03-11,145.93418884277344,149.80030204844616,143.57840950209692,149.25886270019677,56371600
2020-03-12,132.09397888183594,145.7821332961046,131.63802787788026,138.0213999109442,93226400
2020-03-13,150.87367248535156,153.79938665871734,133.68035660445514,140.11122857796408,92727400
2020-03-16,128.6363067626953,141.86850878682063,128.23734786422585,132.98687926660457,87905900
2020-03-17,139.22781372070312,140.111219878546,128.23738768544888,132.98692056268771,81059800
2020-03-18,133.36691284179688,138.68639687590408,128.25642396381357,131.08714225256688,81593200
2020-03-19,135.56118774414062,142.62848121921525,132.03702760813172,135.61817982543892,85922700
2020-03-20,130.46969604492188,139.73128672500724,129.054329789664,138.68638351717573,84866200
2020-03-23,129.1682891845703,133.52837128420802,125.881620623842,130.14669177586433,78975200
2020-03-24,140.9091796875,142.1060716037438,134.19334574567077,136.54911069257048,82516700
2020-03-25,139.56031799316406,146.59913149917378,137.2045529736257,141.45063791485885,75638200
2020-03-26,148.28994750976562,148.81239913590423,140.9376638391544,140.96615988290495,64568100
2020-03-27,142.20098876953125,147.13100542904672,141.72603555754588,144.14829983755556,57042300
2020-03-30,152.2035369873047,152.55501230058746,142.49548995938957,144.8037706334884,63420300
2020-03-31,149.80979919433594,156.52563234720105,148.71739774047174,151.4151294187409,77927200
2020-04-01,144.4903106689453,149.8477839495516,143.26493738693705,145.33572706359047,57969900
2020-04-02,147.4824981689453,147.69147878711792,142.82796147930063,144.25282142442757,49630700
2020-04-03,146.12413024902344,149.49630149094543,144.56628404497476,147.33051565835152,41243300
2020-04-06,156.99105834960938,158.15943933853654,149.68627471810913,152.28902386275382,67111700
2020-04-07,155.3002166748047,161.48410268308842,155.08172774695498,161.09463754501482,62769000
2020-04-08,156.85806274414062,158.32091235571306,155.3097105330273,157.37100586927252,48318200
2020-04-09,156.86756896972656,158.98585654320863,155.1482404127014,158.02645613418778,51385100
2020-04-13,157.21902465820312,157.27603122535353,154.16983281192037,156.1171440984928,41905300
2020-04-14,164.99876403808594,165.04626226424094,159.58429962815816,160.53420617356386,52874300
2020-04-15,163.27000427246094,164.8753492689135,160.7622506107068,162.62406003678151,40940800
2020-04-16,168.1714630126953,168.3994458213664,164.23885015327437,165.5687281288851,50479600
2020-04-17,169.6533203125,170.98318372145278,167.06006492340595,170.50823043333762,52765600
2020-04-20,166.2906036376953,169.79576039517005,166.22411773016378,167.78196356743913,36669600
2020-04-21,159.413330078125,164.97027490463032,157.78898343996238,164.8087925244848,56203700
2020-04-22,164.8278045654297,165.28375569511513,162.26305953111464,162.8044987799114,34620200
2020-04-23,162.83297729492188,166.29063651962912,162.34853017767068,165.38822820580504,32790800
2020-04-24,165.80618286132812,165.81567670835807,162.1585453714661,163.44091045280888,34277600
2020-04-27,165.33123779296875,168.03846276162992,164.61880788104367,167.74399405047532,33194400
2020-04-28,161.30369567871094,166.8701509447093,160.9047365019652,166.79415664993448,34392700
2020-04-29,168.5419921875,168.77946893768998,163.27001992882708,164.542891831182,51286600
2020-04-30,170.23272705078125,171.36310345646845,167.40199563044328,170.98314670600126,53875900
2020-05-01,165.82522583007812,169.69133870777904,165.29326588269856,166.99360705670193,39370500
2020-05-04,169.8812713623047,170.03325987772834,165.09374908184085,165.74918687198553,30372900
2020-05-05,171.70510864257812,174.450338086352,170.88818840181372,171.572122300799,36839200
2020-05-06,173.39598083496094,174.97282960108254,172.5315766630224,172.95903182399024,32139300
2020-05-07,174.4028778076172,175.30528628351058,173.43396890467872,174.9443170953828,28316000
2020-05-08,175.4287567138672,175.7327338053412,174.1748874476006,175.7137316135177,30877800
2020-05-11,177.38555908203125,178.11697670899608,173.6904230840471,173.97538346108584,30892700
2020-05-12,173.367431640625,177.6705069643846,173.16795939072577,177.4425386787855,32038200
2020-05-13,170.7457275390625,174.83032920522427,167.69652068640866,173.4054691701278,44711500
2020-05-14,171.48666381835938,171.63865237649037,166.8796102991968,168.64643742779634,41873900
2020-05-15,173.98486328125,177.6894925196797,168.1334362582344,170.09024116337534,46610400
2020-05-18,175.64723205566406,176.87260518633394,174.74482368880803,176.44515011723627,35264500
2020-05-19,174.43138122558594,177.25260543401274,174.2983948602983,175.7612448784623,26799100
2020-05-20,176.85081481933594,177.0318020320773,175.2124241516012,176.04113977332156,31261300
2020-05-21,174.7266387939453,177.81291307895333,174.5932820706001,176.6031677448123,29119500
2020-05-22,174.8028564453125,175.7077927017451,173.87887960911883,174.49804728640393,20826900
2020-05-26,172.95486450195312,177.65093863777014,172.50716392276382,177.49852683745266,36073600
2020-05-27,173.1835479736328,173.35501496219732,168.2207581533868,171.6499380419208,39517100
